impl,scheme,n,procs,threads,nodes,primes,total_s,serial_s,parallel_s,overhead_s,imbalance_pct,write_s
mpi,cyclic,76000000,16,1,1,4449611,2.149549,0.197202,1.942485,0.009862,0.43,0.191119
mpi,cyclic,76000000,16,1,1,4449611,2.152366,0.200046,1.942288,0.010032,0.40,0.193957
mpi,cyclic,76000000,16,1,1,4449611,2.222482,0.239781,1.977029,0.005672,2.17,0.233679
mpi,cyclic,80000000,16,1,1,4669382,2.369752,0.276576,2.087308,0.005867,0.26,0.270604
mpi,cyclic,80000000,16,1,1,4669382,2.354217,0.249029,2.087847,0.017341,0.28,0.243040
mpi,cyclic,80000000,16,1,1,4669382,2.344185,0.242493,2.096128,0.005564,0.28,0.236560
mpi,cyclic,84000000,16,1,1,4889139,2.552122,0.273765,2.268115,0.010242,1.42,0.266968
mpi,cyclic,84000000,16,1,1,4889139,2.507969,0.260238,2.241236,0.006495,0.25,0.252780
mpi,cyclic,84000000,16,1,1,4889139,2.500309,0.252590,2.241470,0.006249,0.28,0.245975
mpi,cyclic,88000000,16,1,1,5107832,2.799175,0.237401,2.542292,0.019482,5.93,0.230514
mpi,cyclic,88000000,16,1,1,5107832,2.621422,0.208634,2.406163,0.006625,0.84,0.201844
mpi,cyclic,88000000,16,1,1,5107832,2.648823,0.235962,2.406515,0.006346,0.82,0.229469
mpi,cyclic,92000000,16,1,1,5326237,2.812009,0.257601,2.549598,0.004810,0.26,0.250216
mpi,cyclic,92000000,16,1,1,5326237,2.796953,0.223488,2.565079,0.008387,0.81,0.216169
mpi,cyclic,92000000,16,1,1,5326237,2.800595,0.241699,2.550261,0.008636,0.27,0.234686
mpi,cyclic,96000000,16,1,1,5544201,2.999602,0.283988,2.709600,0.006014,0.26,0.276606
mpi,cyclic,96000000,16,1,1,5544201,2.962438,0.239632,2.713293,0.009513,0.34,0.232335
mpi,cyclic,96000000,16,1,1,5544201,2.987509,0.271232,2.709788,0.006489,0.28,0.263929
mpi,cyclic,100000000,16,1,1,5761455,3.138771,0.259751,2.872347,0.006673,0.22,0.252348
mpi,cyclic,100000000,16,1,1,5761455,3.173762,0.291556,2.872451,0.009755,0.26,0.284236
mpi,cyclic,100000000,16,1,1,5761455,3.215714,0.335150,2.873753,0.006810,0.29,0.327847
mpi,cyclic,104000000,16,1,1,5978489,3.319235,0.270946,3.040952,0.007336,0.35,0.263191
mpi,cyclic,104000000,16,1,1,5978489,3.297067,0.246938,3.040734,0.009396,0.31,0.239344
mpi,cyclic,104000000,16,1,1,5978489,3.364705,0.316624,3.040719,0.007363,0.30,0.308904
mpi,cyclic,108000000,16,1,1,6194963,3.540064,0.324423,3.207876,0.007766,0.30,0.316427
mpi,cyclic,108000000,16,1,1,6194963,3.517126,0.301520,3.208014,0.007592,0.28,0.293177
mpi,cyclic,108000000,16,1,1,6194963,3.546623,0.332594,3.207549,0.006480,0.27,0.324618
mpi,cyclic,112000000,16,1,1,6411057,3.696303,0.308643,3.379893,0.007767,0.32,0.300567
mpi,cyclic,112000000,16,1,1,6411057,3.704375,0.310373,3.379621,0.014381,0.28,0.302390
mpi,cyclic,112000000,16,1,1,6411057,3.751292,0.362330,3.380395,0.008568,0.22,0.354244
